identifier ,0   
constant   ,1   
program    ,2   
list       ,3   
integer    ,5   
end        ,6    
read       ,7   
write      ,8   
for        ,9   
do         ,10   
if         ,11   
else       ,12    
and        ,13   
or         ,14    
not        ,15    
:          ,16   
;          ,17   
,          ,18   
.          ,19   
+          ,20   
*          ,21   
(          ,22   
)          ,23   
[          ,24   
]          ,25   
-          ,26   
<          ,27   
>          ,28   
=          ,29   
==         ,30   
===        ,31  